country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","14-04-2025 10:00:00",30.735567,76.775714,SO2,8,44,22
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","14-04-2025 10:00:00",30.735567,76.775714,CO,24,100,32
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","14-04-2025 10:00:00",30.751462,76.762879,NH3,19,33,27
India,Delhi,Delhi,"Alipur, Delhi - DPCC","14-04-2025 10:00:00",28.815329,77.153010,PM10,74,378,195
India,Delhi,Delhi,"Alipur, Delhi - DPCC","14-04-2025 10:00:00",28.815329,77.153010,SO2,13,49,29
India,Delhi,Delhi,"Alipur, Delhi - DPCC","14-04-2025 10:00:00",28.815329,77.153010,OZONE,6,19,7
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","14-04-2025 10:00:00",28.647622,77.3158090,PM2.5,30,312,175
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","14-04-2025 10:00:00",28.647622,77.3158090,PM10,96,408,215
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","14-04-2025 10:00:00",28.647622,77.3158090,NH3,4,14,9
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","14-04-2025 10:00:00",28.695381,77.181665,PM2.5,52,310,187
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","14-04-2025 10:00:00",28.695381,77.181665,NH3,4,8,6
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","14-04-2025 10:00:00",28.695381,77.181665,OZONE,5,301,18
India,Delhi,Delhi,"Bawana, Delhi - DPCC","14-04-2025 10:00:00",28.776200,77.051074,PM10,98,303,188
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","14-04-2025 10:00:00",30.719859,76.738637,PM2.5,28,130,64
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","14-04-2025 10:00:00",30.719859,76.738637,NO2,15,123,52
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","14-04-2025 10:00:00",30.719859,76.738637,SO2,10,31,15
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","14-04-2025 10:00:00",21.194815,81.314770,NH3,3,4,4
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","14-04-2025 10:00:00",21.194815,81.314770,CO,13,46,24
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","14-04-2025 10:00:00",21.185571,81.343175,PM10,35,73,48
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","14-04-2025 10:00:00",21.224231,81.408350,PM2.5,30,61,43
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","14-04-2025 10:00:00",21.224231,81.408350,SO2,24,65,32
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","14-04-2025 10:00:00",28.5627763,77.1180053,NO2,54,140,94
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","14-04-2025 10:00:00",28.5627763,77.1180053,CO,36,70,65
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","14-04-2025 10:00:00",28.6811736,77.3025234,SO2,9,26,13
India,Delhi,Delhi,"ITO, Delhi - CPCB","14-04-2025 10:00:00",28.628624,77.241060,NO2,1,171,73
India,Delhi,Delhi,"ITO, Delhi - CPCB","14-04-2025 10:00:00",28.628624,77.241060,NH3,6,11,9
India,Delhi,Delhi,"ITO, Delhi - CPCB","14-04-2025 10:00:00",28.628624,77.241060,SO2,6,32,14
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","14-04-2025 10:00:00",28.732820,77.170633,PM2.5,68,320,220
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","14-04-2025 10:00:00",28.732820,77.170633,NO2,62,397,188
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","14-04-2025 10:00:00",22.08815,82.13737,CO,31,34,33
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","14-04-2025 10:00:00",22.348441,82.549611,PM10,48,500,122
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","14-04-2025 10:00:00",22.348441,82.549611,NO2,74,90,81
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","14-04-2025 10:00:00",22.348441,82.549611,NH3,1,5,3
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","14-04-2025 10:00:00",22.126650,83.483212,SO2,4,6,5
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","14-04-2025 10:00:00",21.258815,81.578979,NH3,7,7,7
